Date,Adj Close,Daily_ret,,,Total Return
12/1/2011,52.71,0.00%,,,4.40%
12/2/2011,52.95,0.46%,,,
12/5/2011,53.4,0.85%,,Average Daily Return,0.21%
12/6/2011,53.12,-0.52%,,Standard Deveation,1.09%
12/7/2011,52.87,-0.47%,,Sharpe Ration,3.046753064
12/8/2011,53.08,0.40%,,,
12/9/2011,53.48,0.75%,,,
12/12/2011,53.24,-0.45%,,,
12/13/2011,52.83,-0.77%,,,
12/14/2011,51.66,-2.21%,,,
12/15/2011,51.49,-0.33%,,,
12/16/2011,51.77,0.54%,,,
12/19/2011,51.93,0.31%,,,
12/20/2011,53.8,3.60%,,,
12/21/2011,53.87,0.13%,,,
12/22/2011,54.15,0.52%,,,
12/23/2011,54.8,1.20%,,,
12/27/2011,55.23,0.78%,,,
12/28/2011,54.71,-0.94%,,,
12/29/2011,55.04,0.60%,,,
12/30/2011,55.03,-0.02%,,,
